trip_number,trip_date,vehicle_number,leave_time,train,route_number,direction,service_key,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status
170457657,2020-10-16,2293,73047,6001,60,1,W,73020,72865,182,1132,1,0,2,3,8,0.2902,0.3275,11.461916,-122.67047666666667,45.63054833333333,2,4
170457657,2020-10-16,2293,76375,6001,60,1,W, ,76357,18,908,1,0,0,2,2,0.0298,0.1877,25.810583,-122.67052166666667,45.62855166666667,2,2
170457657,2020-10-16,2293,77013,6001,60,1,W, ,77013,0,1015,0,0,0,0,4,2.5395,2.7452,130.878099,-122.68443333333333,45.61270666666667,2,2
170457657,2020-10-16,2293,76909,6001,60,1,W,76800,76851,58,986,1,0,2,0,4,2.0928,2.2972,48.308027,-122.68121166666667,45.610971666666664,2,4
170457657,2020-10-16,2293,76345,6001,60,1,W,76380,76345,0,906,0,0,0,0,4,0,0,599.151678,-122.67058666666667,45.62789333333333,2,5
170457657,2020-10-16,2293,77239,6001,60,1,W,77160,77239,0,832,1,0,0,4,0,4.0594,4.3782,52.161191,-122.68546833333333,45.596015,2,6
170457657,2020-10-16,2293,76573,6001,60,1,W,76560,76421,152,1132,1,0,1,1,2,0.1622,0.3275,24.392227,-122.67047833333334,45.630601666666664,2,4
170457670,2020-10-16,2291,21464,6002,60,W,21660, ,21464,0,906,1,0,0,4,0,0,15.895757,-122.67053666666666,45.626215,2,0,2291
170457686,2020-10-16,21745,6002,60,1,W,21707, ,38,908, ,1,0,2,0,6,0.1584,0.1877,38.097083,-122.67052666666666,45.628595,2,2
170457697,2020-10-16,2291,22210,6002,60,1,W,22500,22210,0,832,1,0,0,6,0,3.2162,3.3287,52.615702,-122.68545666666667,45.596015,2,6
170457697,2020-10-16,2291,21660,6002,60,1,W,21660,21660,0,906,1,0,3,0,4,0,0,15.397878,-122.67053666666666,45.626216666666664,2,5
170457697,2020-10-16,2291,21930,6002,60,1,W,21900,21785,145,1132,1,0,0,0,6,0.2902,0.3275,7.652014,-122.67044333333334,45.630523333333336,2,4
170457701,2020-10-16,2291,25449,6002,60,0,W,25380,25449,0,832,1,0,3,0,3,0,0,55.576015,-122.68547666666667,45.596005,2,5
170457701,2020-10-16,2291,25822,6002,60,0,W, ,25822,0,1015,0,0,0,0,2,2.3929,2.465,107.535622,-122.68446666666667,45.61264666666667,2,2
